	roi	task	func	loc	loc_deg	kappa1	scale1	kappa2	scale2	maxr	minr	amp	fwhm	nearest_dist_bin	roi_labels
14	5.0	wm	diff_vonmises	-0.0421942209729193	-2.4175507815906583	1.115477013352193	3.6725905756784334	0.3349004048362496	4.587824331267959	0.3420894687174003	-0.3650552029180898	0.7071446716354901	105.74978535192948	near	V3ab
15	6.0	ltm	diff_vonmises	0.0451364558400749	2.5861284218149083	0.6387606953852678	169.1617101675646	0.6265950041395989	169.93263065197968	0.1820124442423889	-0.2653936620438539	0.4474061062862429	109.36449477504434	near	IPS0
16	6.0	perception	diff_vonmises	-0.1524101698711726	-8.732459488490129	0.7029071600940839	226.59604580700747	0.6912544955107103	227.3872066578457	0.2793886264004612	-0.3059000381647259	0.5852886645651871	105.5692036351486	near	IPS0
17	6.0	wm	diff_vonmises	-0.0485624037787086	-2.782420779530168	0.6811734854750127	205.7301307172427	0.669955504611761	206.48768525552555	0.2281108339290725	-0.2777425662847115	0.505853400213784	106.66507911658212	near	IPS0
18	7.0	ltm	diff_vonmises	-0.0446227427746619	-2.55669483128602	0.9396022039740408	176.78615954217298	0.922398217872774	177.72534446323112	0.271151406326453	-0.3077936124959421	0.5789450188223952	90.28841400436298	near	LO1
19	7.0	perception	diff_vonmises	-0.0878316157924959	-5.032380892724609	0.825174123319477	159.67366503417728	0.8005277956807143	160.4875197643049	0.5042491829607698	-0.3892643278854812	0.8935135108462511	99.52917654078752	near	LO1
20	7.0	wm	diff_vonmises	-0.0563612833429525	-3.2292636634921683	1.2104222423844877	4.062816723514579	0.5025814708250902	4.967734288900918	0.3200421041722878	-0.3264324067951651	0.646474510967453	96.1018399830774	near	LO1
0	1.0	ltm	diff_vonmises	0.0044700232940727	0.2561134690755348	7.382412586820378	0.4898775308379822	2.537224203405048e-17	2.9083765325937088	0.0584575414269287	-0.4628822997431731	0.5213398411701018	50.05999537440493	far	V1
1	1.0	perception	diff_vonmises	-0.0586115041311297	-3.3581918176273224	10.011276892096236	0.8947444201276211	0.0269859394680654	3.3780339166651934	0.5621653758511623	-0.5409831019411178	1.10314847779228	42.64160585675182	far	V1
2	1.0	wm	diff_vonmises	-0.0182171949246098	-1.04376838374729	9.041799137381265	0.5932435423047913	0.0289373366612856	3.157452357111085	0.1841016987963257	-0.5055990448920858	0.6897007436884116	44.72774274570765	far	V1
3	2.0	ltm	diff_vonmises	-0.0334469081454385	-1.916366674495365	6.14380379490459	0.7859427138174685	0.1789061058082446	2.117817505730824	0.3600678778074891	-0.3425064499697655	0.7025743277772547	52.711526537562605	far	V2
4	2.0	perception	diff_vonmises	-0.0375473056520745	-2.151302145951573	9.02269332023664	1.2196669676751568	0.23652678042785	2.5148656684852657	0.9401129088857004	-0.429066392218451	1.369179301104151	43.98238622147284	far	V2
5	2.0	wm	diff_vonmises	-0.0334053948301353	-1.9139881367348937	7.349026090198031	0.8922239313915961	0.2354056189344886	2.3378937578827976	0.4829624923734587	-0.391773457330502	0.8747359497039606	48.09759406571317	far	V2
6	3.0	ltm	diff_vonmises	0.0168703918854603	0.9666022537686308	2.9558349206113794	1.6803824967877463	0.5285740787010349	2.5452767105905507	0.4496620773956774	-0.3226280635879393	0.7722901409836167	69.08996396168575	far	V3
7	3.0	perception	diff_vonmises	0.0136971902461555	0.784791192292469	3.0841887401318147	2.9282465055804665	0.5442128914324731	3.679327617788965	1.009931376184756	-0.4556633173723867	1.465594693557143	69.18776306815786	far	V3
8	3.0	wm	diff_vonmises	0.0197321662477568	1.130569846646959	3.075051929644917	1.9644878535886183	0.5314818098490883	2.925711165840552	0.5657198495014906	-0.3762211848998528	0.9419410344013434	68.1697144062133	far	V3
9	4.0	ltm	diff_vonmises	-0.0891866251537233	-5.110017210323656	1.846988341951268	2.188729718480359	0.304103434358792	3.912213131460865	0.251178349173523	-0.4581678268929514	0.7093461760664744	85.74660675992567	far	V4
10	4.0	perception	diff_vonmises	-0.0055010800520349	-0.3151886697452126	1.5073560485539617	5.942234136794818	0.5551823600807235	7.633641668497741	0.6189360365846577	-0.5901763511341652	1.209112387718823	87.71994323377487	far	V4
11	4.0	wm	diff_vonmises	-0.07156748699663	-4.1005149552643	1.4960723054982454	4.6843514884098125	0.5651682913936458	6.464884098654542	0.351572430515225	-0.5138434570201895	0.8654158875354145	85.73593844352612	far	V4
12	5.0	ltm	diff_vonmises	0.0085661955644711	0.4908068523278829	1.476881106428832	2.761399375312108	0.4089098341266551	3.60789014461024	0.3555978937132965	-0.3199044096131249	0.6755023033264214	92.9863116638376	far	V3ab
13	5.0	perception	diff_vonmises	-0.0058529024382749	-0.335346607614986	1.0409394771636118	64.22944274805695	0.966015728664722	65.13739851636487	0.6055642870009095	-0.4216793951702522	1.0272436821711617	89.67143753172047	far	V3ab
14	5.0	wm	diff_vonmises	-0.0007504903632401	-0.0429999303789007	1.2534035154572656	5.118084436571349	0.5660045134849798	6.025266306036622	0.4293931788416225	-0.3642808017502512	0.7936739805918738	93.93467294979236	far	V3ab
15	6.0	ltm	diff_vonmises	-0.0845640150518729	-4.845161161153088	0.5399900024270871	87.22212438400284	0.5122437734350881	88.03848489572364	0.2507612489406732	-0.3396869876816346	0.5904482366223078	120.59943681092184	far	IPS0
16	6.0	perception	diff_vonmises	0.1965410581881323	11.260973135215114	0.5724311581918095	4.043943800804207	6.396951906510183e-20	4.836462588549571	0.2830688639817997	-0.4346656511281202	0.7177345151099199	147.7961562768212	far	IPS0
17	6.0	wm	diff_vonmises	-0.02705921131678	-1.5503786054041309	0.9499480571222264	2.2555252949810694	8.420501787615898e-13	3.074850178232355	0.259937579531113	-0.377285367038901	0.6372229465700141	130.69792263941844	far	IPS0
18	7.0	ltm	diff_vonmises	0.112622272449197	6.452780890511477	0.8548956042254966	166.29362121643908	0.8371406299281644	167.4242460912327	0.2120917717568602	-0.3315429155643521	0.5436346873212123	93.26069455628073	far	LO1
19	7.0	perception	diff_vonmises	-0.0667698503039283	-3.8256306211353897	2.131421839729434	1.665071336717136	5.49044536450637e-17	2.478117634518966	0.4981555201942179	-0.3818352117043868	0.8799907318986047	94.09790796646578	far	LO1
20	7.0	wm	diff_vonmises	0.0858030538708542	4.916152856133589	2.200264601119874	1.1622398629395196	1.3264733369081827e-17	2.3149569714556977	0.2665720388752759	-0.3606447131118072	0.627216751987083	92.6506342483514	far	LO1
