	subj	task	event_id	tertile	ang_dist
0	114	ltm	16	clock	19.008042049980173
1	114	ltm	17	counter	-6.183744567667504
2	114	ltm	18	clock	36.23971495560745
3	114	ltm	19	counter	-6.387521133279262
4	114	ltm	20	clock	6.450151611737397
5	114	ltm	21	counter	-11.012735645943824
6	114	ltm	22	counter	-10.474601594325506
7	114	ltm	23	clock	10.591299068861286
8	114	ltm	24	clock	8.106677427957697
9	114	ltm	25	counter	-5.775869934453731
10	114	ltm	26	counter	-13.229741403404772
11	114	ltm	27	counter	-22.42942130962219
12	114	ltm	28	counter	-21.71969092244301
13	114	ltm	29	counter	27.132452941995325
14	114	ltm	30	counter	-10.36297536633805
15	114	ltm	31	center	0.3170472023378898
16	114	ltm	64	counter	16.130896170569088
17	114	ltm	65	clock	50.76799113566907
18	114	ltm	66	counter	-19.4220719458614
19	114	ltm	67	counter	-13.491778917866334
20	114	ltm	68	clock	5.338556009467253
21	114	ltm	69	clock	13.850573079377476
22	114	ltm	70	center	-1.2183119377027924
23	114	ltm	71	counter	-17.325956197378765
24	114	ltm	72	counter	-19.04478160628909
25	114	ltm	73	counter	-13.11798126135379
26	114	ltm	74	counter	-21.722544836360463
27	114	ltm	75	center	3.792683304310804
28	114	ltm	76	clock	17.05678775144309
29	114	ltm	77	counter	-13.619631764614915
30	114	ltm	78	center	0.1448720098699737
31	114	ltm	79	center	1.6038162784889247
32	114	ltm	112	clock	13.900855843422516
33	114	ltm	113	center	-1.6479346013198581
34	114	ltm	114	center	-5.429072964862617
35	114	ltm	115	clock	-18.81246642563343
36	114	ltm	116	counter	-7.185494838606324
37	114	ltm	117	counter	-25.489213644913676
38	114	ltm	118	center	2.478066819879757
39	114	ltm	119	counter	-30.71831068467752
40	114	ltm	120	clock	8.685113283134895
41	114	ltm	121	counter	-15.940434291672352
42	114	ltm	122	clock	4.410228202001039
43	114	ltm	123	counter	-17.56935328723929
44	114	ltm	124	clock	4.519868999845796
45	114	ltm	125	clock	31.029458373726904
46	114	ltm	126	counter	-12.073349689451362
47	114	ltm	127	center	4.1527580089547484
48	114	ltm	160	counter	-9.626985245304969
49	114	ltm	161	counter	-167.70038581762492
50	114	ltm	162	center	1.104441190468317
51	114	ltm	163	clock	23.48198546855736
52	114	ltm	164	center	2.1972639884165712
53	114	ltm	165	counter	-14.718686744797376
54	114	ltm	166	counter	-6.524343161582049
55	114	ltm	167	center	-5.3987780325123005
56	114	ltm	168	counter	-6.194230307403338
57	114	ltm	169	counter	-17.193397656989443
58	114	ltm	170	counter	-19.25089649862647
59	114	ltm	171	center	-1.46777673906499
60	114	ltm	172	clock	29.079206597053453
61	114	ltm	173	clock	8.283059942008114
62	114	ltm	174	counter	-6.5497353190895
63	114	ltm	175	counter	-12.313031935421469
64	114	perception	0	center	-0.8015269320103343
65	114	perception	1	center	0.4545786058863302
66	114	perception	2	clock	4.562946101803783
67	114	perception	3	clock	6.063892315908899
68	114	perception	4	center	2.5182029076173182
69	114	perception	5	center	-1.2433217693714649
70	114	perception	6	counter	-4.700641484552859
71	114	perception	7	center	-0.6458214828846277
