	roi	task	n_boot	l	k	x0	c	k2	x2	c2	risetime	risetime_l
9005	LO1	wm	478	0.5912823971185727	1.4204346505858187	2.2731104263972295	1.2231412858831494	-0.470583925668149	9.963396588529818	1.2276429207681052	3.4849484948494847	4.810881088108811
9006	V1	ltm	479	0.07660072851421997	1.8091589140304638	3.932539723314848	1.1800075973566972				5.146914691469147	5.152515251525152
9007	V1	perception	479	0.6064737254025877	4.9999999999999645	2.7754632440691385	1.4232652081140647				3.2147214721472146	3.2147214721472146
9008	V1	wm	479	0.6292001597698603	4.999999999999999	2.6621231433330843	1.1419742346930941	-1.1783976723537997	6.054274749189222	1.3654863281148018	3.0495049504950495	3.585758575857586
9009	V2	ltm	479	0.31899740506692953	0.6431373504343856	2.2453971228098117	0.993692900600977				6.013601360136014	13.998599859985998
9010	V2	perception	479	1.235747627114072	1.3160423883556092	2.2656798327450343	1.0150452941386718				3.9763976397639764	4.476247624762476
9011	V2	wm	479	187.8387795821067	1.8090997373149358	8.69211649571819	1.0006571700517102	-2.036515670571694	2.9883696369661346	1.0014055856046902	3.3477347734773475	3.925992599259926
9012	V3	ltm	479	0.3070928219677051	0.4326274309973675	3.578884609941326e-12	1.0022249718779412				6.705270527052705	13.998599859985998
9013	V3	perception	479	1.3687616476392852	1.0589990665976978	2.551005789773926	1.0219526805028085				4.693269326932693	5.6257625762576255
9014	V3	wm	479	91.5505440846865	0.9394281625526221	12.414050404746883	1.000589127518772	-1.1853401955996832	3.111809044952179	1.0054154430372932	3.3659365936593657	4.182218221822182
9015	V4	ltm	479	0.08206196875953976	4.9999999515891895	5.235710079643105	1.2315799050042506				5.674767476747674	5.674767476747674
9016	V4	perception	479	0.8675076289793503	1.935948958291382	2.3784432072149864	1.234590454393865				3.5185518551855184	3.573157315731573
9017	V3ab	ltm	479	0.22288669244480913	4.999999995967165	2.244697843884904	1.2338002457808523				2.684068406840684	2.684068406840684
9018	V3ab	perception	479	1.0543304702645542	1.3714477464917414	2.897390194368533	1.0778449509002355				4.514051405140514	4.662466246624662
9019	V3ab	wm	479	1.6471937113293011	1.5322838360129	2.992023519399993	1.1409063549990917	-0.33364461438300513	3.081376902786029e-15	1.1731559874013995	3.5003500350035	4.243824382438244
9020	IPS0	ltm	479	0.1977184010027262	4.999999999990677	3.301150778952908	1.2022671849013045				3.741174117411741	3.741174117411741
9021	IPS0	perception	479	0.651833827274169	1.6435532691505268	2.6737466750831227	1.1628825870222887				4.018401840184018	4.098209820982098
9022	IPS0	wm	479	7.728047605513065	1.2827527669551695	4.8813748968602075	1.0295781768010612	-0.8165207945282851	2.051190004263842e-12	1.051297187098378	4.294229422942294	5.037703770377037
