	param	roi	task	value	68_ci_lower	68_ci_upper	95_ci_lower	95_ci_upper	experimenter
10	fwhm	V4	perception	82.3426913350842	78.67124212524288	86.746873043334	75.22921100371452	90.59232354698416	rob
13	fwhm	V3ab	perception	88.77919494669123	85.2662648364037	92.74635776383239	81.71644470751106	95.8483508924006	rob
16	fwhm	IPS0	perception	122.94451601717743	113.52081556078703	133.0075338028127	108.45269816962191	144.04962766811354	rob
19	fwhm	LO1	perception	99.6932132387436	92.7956080333163	104.39618592633454	87.00066075604094	111.31953981243359	rob
2	loc	V1	wm	0.9877289965513858	-0.8741496017409301	3.476377054489668	-3.322379282581363	5.433317403697197	rob
5	loc	V2	wm	1.4351465474116274	-0.4482669104915234	3.6531778121253335	-2.8994797114649953	5.24535739344822	rob
8	loc	V3	wm	-3.4440234136725163	-5.481959007354958	-0.9061930189006089	-7.514420691941517	1.2084316152630363	rob
11	loc	V4	wm	-6.581366162407882	-8.861662958085107	-2.873860210146734	-11.111621497622401	1.327183281192975	rob
14	loc	V3ab	wm	0.5452856979237359	-2.276522517894478	4.036405137831763	-4.644907343303453	6.741791478485111	rob
17	loc	IPS0	wm	-4.5596644090966425	-8.20699411269539	-0.9063366910016105	-11.205333510582324	1.7613412293432558	rob
20	loc	LO1	wm	6.983446772851842	3.2534334760019226	10.446935837401714	-0.5881288509283092	13.632118346578581	rob
2	amp	V1	wm	0.3142743283760189	0.2767579292162967	0.36197027446901764	0.22564318231127037	0.43666931052158864	rob
5	amp	V2	wm	0.4229141735813487	0.35231526556555265	0.49365907422051064	0.27451827633288056	0.5423708053790207	rob
8	amp	V3	wm	0.4390025454222046	0.36585567329125046	0.5167502482181048	0.3035163196135553	0.5999769791419953	rob
11	amp	V4	wm	0.424673261332849	0.3478218399653116	0.49129985127977926	0.2866623668476579	0.5788895652075748	rob
14	amp	V3ab	wm	0.4927800417572889	0.41806188418175955	0.5769392665560559	0.33878146306989404	0.6369365862034628	rob
17	amp	IPS0	wm	0.491556830975842	0.41246787560162	0.5620008305639537	0.3476649756311892	0.6630267326360337	rob
20	amp	LO1	wm	0.3823668882897975	0.3122324145379627	0.4584757025257586	0.2666407554434709	0.537359228220159	rob
2	fwhm	V1	wm	61.67850383611554	57.57277204373467	70.78944862214237	52.309433685521526	84.74849332496197	rob
5	fwhm	V2	wm	63.38729385586248	60.47430934383096	65.89680090517663	57.45924111028954	67.74152819835136	rob
8	fwhm	V3	wm	70.51345865619095	66.27966121581655	74.47300328857342	61.111395880502975	77.54034052117659	rob
11	fwhm	V4	wm	81.2095176466812	75.6983353983985	89.10094555086977	71.00326425229345	92.74741185462682	rob
14	fwhm	V3ab	wm	107.67648456006012	103.43118266131073	110.88139703051749	100.32225037167808	114.98881263381033	rob
17	fwhm	IPS0	wm	124.94426992106092	118.73795088189064	129.0765749323693	111.63859764395771	132.789637210454	rob
20	fwhm	LO1	wm	93.31151656659672	84.95903844334102	96.38710799899927	77.40815667391635	103.41616073423087	rob
0	loc	V1	ltm	-1.6093956876861686	-6.891429955454644	1.2965760518463598	-13.061903281894171	4.655672472797762	rob
3	loc	V2	ltm	-1.0685978663651996	-3.8179398472375463	2.023254147843485	-6.699897297513287	4.218374466842712	rob
6	loc	V3	ltm	1.1044669145147994	-1.869005974583513	4.075488075970956	-4.106808629251984	6.720832037100799	rob
9	loc	V4	ltm	-7.046371409029392	-9.706091607427943	-2.3107717993709964	-11.3142650205457	3.1492993688038493	rob
12	loc	V3ab	ltm	-0.18085745844327117	-2.2674842855724657	1.9217444305424372	-3.5173791276253916	5.289821135281276	rob
15	loc	IPS0	ltm	-6.392893875549099	-9.346204954447524	-3.538409720586854	-13.640691017232232	-1.7096051407949295	rob
18	loc	LO1	ltm	3.557003083917458	-1.0904111666725937	7.240294476967228	-4.861906902112878	11.414437986644566	rob
0	amp	V1	ltm	0.2478156221669967	0.1935022611166227	0.3137759790995014	0.14885303873001549	0.4043961615466088	rob
3	amp	V2	ltm	0.3657830505495531	0.31666725032816884	0.4205678644497722	0.27331942839580153	0.4930257296471282	rob
6	amp	V3	ltm	0.3878872516630816	0.31085730141981316	0.4803438812028967	0.2514669689255605	0.5868611082593316	rob
9	amp	V4	ltm	0.3722761786890731	0.29282584677805146	0.46318040680532824	0.24312108060187487	0.5725530985049971	rob
