	roi	task	func	loc	loc_deg	kappa1	scale1	kappa2	scale2	maxr	minr	amp	fwhm	tertile	roi_labels
17	6.0	wm	diff_vonmises	-0.0394649138205292	-2.2611730007638418	0.5925927200326104	194.34067822789376	0.5805506616785231	195.50934509782945	0.1362876975079388	-0.3401715520494619	0.4764592495574007	111.0194833133692	counter	IPS0
18	7.0	ltm	diff_vonmises	0.0188671409837827	1.0810075498490526	1.0837628999671582	115.91527323677984	1.0567344996446233	117.35624025692432	0.0807658364224224	-0.3560242841746319	0.4367901205970543	79.1869686061273	counter	LO1
19	7.0	perception	diff_vonmises	0.0380188820230855	2.1783214817286005	2.77213797541417	1.42854602696119	9.148644617796109e-18	2.519871690707263	0.493109842924829	-0.3975539794657656	0.8906638223905947	82.58406182362998	counter	LO1
20	7.0	wm	diff_vonmises	0.1651955222091864	9.46500621704604	2.9403768957322214	0.5854615281633885	1.0682648899203223e-16	2.156644695703043	0.0358048648650339	-0.3421819061459772	0.3779867710110112	80.14824495927564	counter	LO1
0	1.0	ltm	diff_vonmises	-0.3196565474242373	-18.314971061132244	0.5802430280986278	1.1816779268070812	4.192001813909832e-19	3.419256671027527	-0.2348070393802993	-0.4472492464741274	0.2124422070938281	146.59838134083736	clock	V1
1	1.0	perception	diff_vonmises	-0.0784830526568324	-4.4967476805395	14.136926999363505	0.6937706186080144	0.0057768998547491	3.0543675336926444	0.5416591838723064	-0.4870248756734164	1.0286840595457227	36.010592883058905	clock	V1
2	1.0	wm	diff_vonmises	-0.053193834233508	-3.047782197698528	4.339033263761356	0.4586667116475922	0.070058521957125	2.6037698950933628	-0.0753482181614731	-0.4094133814340641	0.3340651632725909	62.32226636112188	clock	V1
3	2.0	ltm	diff_vonmises	-0.072178962756994	-4.135549935607711	4.44261223825471	0.3598583229193733	1.7676457332632287e-18	1.5581395088690848	0.0448994177541522	-0.2479450629722867	0.292844480726439	64.8719821286586	clock	V2
4	2.0	perception	diff_vonmises	-0.0163649986244481	-0.937645352918276	6.21839175428327	1.4444948494720684	0.3519386606498085	2.656446811988568	0.822675812255123	-0.4391005680504012	1.2617763803055242	51.69640530744516	clock	V2
5	2.0	wm	diff_vonmises	0.0856081554900848	4.90498600148157	2.842400584438891	0.8034069144810533	0.2460091698926058	2.041174944890626	0.100928675351753	-0.2903413569418858	0.3912700322936389	72.18263940197292	clock	V2
6	3.0	ltm	diff_vonmises	-0.1675297817782196	-9.598749438639668	1.2581070315130476	111.37390372337724	1.2398093459052175	112.15404180336276	0.072079531802359	-0.208724728199213	0.2808042600015721	74.03550561668581	clock	V3
7	3.0	perception	diff_vonmises	-0.0415198005784784	-2.3789093393716514	4.3012388732157465	2.0681021895593066	0.4331363386995251	2.5753413864744097	1.0504960435131714	-0.3748506515221673	1.4253466950353388	61.3716723779134	clock	V3
8	3.0	wm	diff_vonmises	0.053212684350614	3.04886222985203	1.1688934451337252	150.40573323570263	1.1522821890106711	151.00917907585952	0.2406743390879384	-0.2185719098250107	0.4592462489129492	81.56752777979938	clock	V3
9	4.0	ltm	diff_vonmises	-0.3680190006827994	-21.085935519746567	11.883607432074289	0.2514755189916673	2.601423658713708e-33	1.8744903229330885	0.0437191858844651	-0.2983344006564262	0.3420535865408913	39.33621396227622	clock	V4
10	4.0	perception	diff_vonmises	-0.0654789114787706	-3.7516652748442794	3.0298208584650577	1.9521086019147915	0.0830003003813845	2.8850541561314054	0.7876855576632669	-0.4261901513292447	1.2138757089925116	76.58774499569651	clock	V4
11	4.0	wm	diff_vonmises	-0.1948362797172985	-11.16329652383157	0.6808862799829417	189.826288483945	0.6694812603665019	191.5817875007252	-0.0772033607525486	-0.3612664158711141	0.2840630551185654	94.36772875928231	clock	V4
12	5.0	ltm	diff_vonmises	-0.0471056449072501	-2.6989546444273533	0.9827615877066336	135.9835356634807	0.9651277922389948	136.9189986479562	0.1410965158653567	-0.2583298992769034	0.3994264151422602	85.9019881365434	clock	V3ab
13	5.0	perception	diff_vonmises	-0.0984723545605656	-5.642050315036235	1.002109289513002	148.64146800026396	0.9712529540706752	149.29681009442606	0.6482014820078561	-0.3856915479239671	1.0338930299318232	91.52151786330693	clock	V3ab
14	5.0	wm	diff_vonmises	0.0135643834016703	0.7771819206130207	1.0925325370198589	1.485539867295906	9.579190951667643e-14	2.3880446086150875	0.1534385487971887	-0.320064285501189	0.4735028342983777	124.81946017516051	clock	V3ab
15	6.0	ltm	diff_vonmises	-0.4270544976208505	-24.468420335754395	0.6148569545476829	154.45077912329023	0.6033161305120222	155.3290935209593	0.1038529267265175	-0.2527778028887599	0.3566307296152775	108.89042425169876	clock	IPS0
16	6.0	perception	diff_vonmises	-0.0283686058110679	-1.6254013836444965	0.5608819359384285	118.72783252728118	0.5418198658337083	119.29920247114528	0.2805751878746925	-0.2930142437243521	0.5735894315990446	119.53616171540776	clock	IPS0
17	6.0	wm	diff_vonmises	0.0701797738683778	4.021004849840551	0.4118029419798717	3.1780780861564177	1.9563347573748688e-17	4.163291156269809	0.0695548086575569	-0.3413011981198377	0.4108560067773946	156.75105600594114	clock	IPS0
18	7.0	ltm	diff_vonmises	-0.1561487448400384	-8.946664055599392	0.992899955105354	133.53897820093923	0.9759562282401952	134.80779379767026	0.0008000097729947	-0.2875034593586427	0.2883034691316375	80.33246288046118	clock	LO1
19	7.0	perception	diff_vonmises	-0.0238122289793381	-1.3643402213151885	1.6987135970086296	1.4328201257156414	2.386516959449387e-15	2.5320167836959167	0.2663767508929542	-0.3805851782497927	0.6469619291427471	104.63104430921828	clock	LO1
20	7.0	wm	diff_vonmises	0.2725439643069649	15.61561888655324	0.7182168800375665	106.3678036417853	0.6992011137889257	107.55030209066416	0.0493405517934917	-0.2845568102024511	0.3338973619959429	97.7485992829146	clock	LO1
