	wlsubj	run	task	trial_id	cond	sacc_idx	sacc_label	index	event	eye	start_time	end_time	duration	x_start	y_start	x_end	y_end	amp_deg	peak_v	trial_start	trial_end	target_x	target_y	sac_x_deg	sac_y_deg	sac_ang	sac_ecc	target_theta	sacc_theta	ang_dist	fix_duration	x_centered	y_centered
54	141	12	wm	10	43	7	corrective	667	ESACC	R	2828643	2828665	23	829.8	873.0	826.0	876.6	0.14	63	2812865	2828900	-2.5482573356965834	-6.519692059527701	-3.0454545454545454	-7.65	-111.7074339199608	8.233911184147528	-1.943394720765441	-1.9496625208573115	0.3591184920958925	175	-0.05160817136766745	8.233749448767423
55	141	12	wm	10	43	8	last	668	ESACC	R	2828840	2828887	48	818.7	877.7	806.3	897.8	0.75	70	2812865	2828900	-2.5482573356965834	-6.519692059527701	-3.493181818181819	-8.131818181818181	-113.24688920024968	8.850355142988601	-1.943394720765441	-1.976531084185565	1.898573772384794	13	-0.29321491830250007	8.845496660375247
56	141	12	wm	11	34	0	first	741	ESACC	R	2844816	2844857	42	950.6	548.8	1170.8	328.2	8.82	438	2828901	2845936	3.892490132516203	5.817948140733465	4.79090909090909	4.813636363636364	45.13557896964719	6.7914582350683474	0.9811464960489528	0.787764462814253	11.079974338006918	171	-1.3051755129859821	6.664864727732998
57	141	12	wm	11	34	1	response	742	ESACC	R	2845028	2845049	22	1130.9	320.8	1123.2	284.6	1.34	116	2828901	2845936	3.892490132516203	5.817948140733465	3.7090909090909103	5.804545454545454	57.42151779750972	6.888403538250726	0.9811464960489528	1.0021945470590672	-1.2059644898556192	311	0.14497676388615746	6.886877742759648
58	141	12	wm	11	34	2	corrective	743	ESACC	R	2845360	2845375	16	1086.4	295.7	1100.7	304.8	0.39	64	2828901	2845936	3.892490132516203	5.817948140733465	3.1977272727272736	5.345454545454545	59.11153354221626	6.228911944173273	0.9811464960489528	1.0316908862147405	-2.89598023456216	184	0.3147025187227669	6.2209570270959125
59	141	12	wm	11	34	3	last	744	ESACC	R	2845559	2845567	9	1094.9	292.1	1094.5	307.5	0.57	76	2828901	2845936	3.892490132516203	5.817948140733465	3.0568181818181817	5.284090909090909	59.95084935630145	6.104568300234785	0.9811464960489528	1.0463397106345833	-3.735296048647344	369	0.397694580783656	6.091600212805066
60	141	12	wm	12	46	0	first	815	ESACC	R	2862857	2862910	54	965.7	524.1	1285.1	746.8	9.46	321	2845936	2863980	5.616069329949273	-4.178488396681642	7.388636363636362	-4.699999999999999	-32.46092770478441	8.756822900690041	-0.6396652592974965	-0.5665500667003339	-4.189191954103577	134	0.6396864945704285	8.73342707662426
61	141	12	wm	12	46	1	response	816	ESACC	R	2863044	2863069	26	1266.5	725.9	1219.2	701.6	1.12	148	2845936	2863980	5.616069329949273	-4.178488396681642	5.890909090909092	-3.672727272727273	-31.94175660512872	6.942026760045664	-0.6396652592974965	-0.5574888216301427	-4.708363053759258	135	0.5698291840911655	6.91860030917729
62	141	12	wm	12	46	2	last	817	ESACC	R	2863204	2863311	108	1228.0	677.5	1217.6	696.5	0.73	98	2845936	2863980	5.616069329949273	-4.178488396681642	5.854545454545453	-3.5568181818181817	-31.279980383097097	6.850303501148779	-0.6396652592974965	-0.5459386476442816	-5.370139275790896	669	0.64111610664977	6.820236667128602
63	141	12	wm	13	47	0	response	878	ESACC	R	2880883	2880983	101	895.4	587.6	1222.9	659.7	5.27	233	2863980	2882016	6.960027325362076	-0.747007115236011	5.975000000000002	-2.7204545454545466	-24.48006831990665	6.565173107686067	-0.106918895674694	-0.427257793295528	18.354066847547152	748	-2.067295780033421	6.231194595881302
