	roi	task	n_boot	func	loc	loc_deg	kappa1	scale1	kappa2	scale2	maxr	minr	amp	fwhm	nearest_dist_bin	roi_labels
0	1.0	ltm	495	diff_vonmises	0.0358683421047857	2.0551046207356083	7.514011426027544	0.5126855607025519	0.1454653433059523	4.110914882875316	-0.2020444587688697	-0.6870687299078682	0.4850242711389984	46.47808220140152	near	V1
1	2.0	ltm	495	diff_vonmises	0.141833017487984	8.126433297666683	5.06669391010458	0.7789662231647063	0.4667577093823832	1.997232768384117	0.1998294446729947	-0.3305462387034475	0.5303756833764423	54.05313979434729	near	V2
2	3.0	ltm	495	diff_vonmises	0.1102750214271814	6.318293313492214	3.917000901841169	0.75674462846757	0.5525168150578644	1.4078547454579606	0.2139226611094847	-0.2084017366668657	0.4223243977763505	60.42154357002772	near	V3
3	4.0	ltm	495	diff_vonmises	-0.2425190892315501	-13.895320264324434	0.8905971500598127	184.1580324362451	0.8720410054608315	186.12975266557223	0.0255674420934042	-0.4483855467928777	0.4739529888862819	85.78348419098369	near	V4
4	5.0	ltm	495	diff_vonmises	-0.0751451161190332	-4.305498004641096	2.619256941890808	0.8394449954892131	7.387593874028568e-13	1.6241597098631604	0.2499047816713836	-0.2557941986483154	0.505698980319699	84.98325003239015	near	V3ab
5	6.0	ltm	495	diff_vonmises	0.2481375025112696	14.217231632812618	0.8859768137224217	89.41897471303778	0.86908607121261	89.90978121832059	0.1324326774874933	-0.1588843467869054	0.2913170242743987	92.84036312469804	near	IPS0
6	7.0	ltm	495	diff_vonmises	-0.060774952339013	-3.482148269134179	0.7129390012208375	132.61642217817413	0.6971649428713098	134.17550236361012	-0.0440197562446726	-0.3300866122012227	0.28606685595655	93.64758530327154	near	LO1
0	1.0	ltm	496	diff_vonmises	0.06662696694533	3.8174440077250553	7.743002320014424	0.340222945961065	0.0677524462804351	3.7702264010201096	-0.2702107019753631	-0.6126694684498393	0.3424587664744761	46.79717143474434	near	V1
1	2.0	ltm	496	diff_vonmises	0.1053749746914271	6.037541316116641	9.300094703820228	0.4863521004408433	0.2752930667539315	1.7692636057119409	0.2194245462884761	-0.3126428356580328	0.532067381946509	42.43553177670839	near	V2
2	3.0	ltm	496	diff_vonmises	0.0954141904720513	5.466830419705894	1.6414309570868315	43.75782480725884	1.5813499427406872	44.40730437739792	0.1584713315578483	-0.2210093080559234	0.3794806396137717	67.06773921748055	near	V3
3	4.0	ltm	496	diff_vonmises	-0.2261428648432853	-12.95703172251765	0.9323909514308064	189.7555066584564	0.9160102541085487	191.74122629523703	-0.055641931925237	-0.4280951611987404	0.3724532292735034	81.26911216251773	near	V4
4	5.0	ltm	496	diff_vonmises	-0.094049526548787	-5.388640936449085	2.7708370112083	0.7857133418102308	7.347970893744906e-14	1.8501940195609183	0.1971704824921555	-0.2925400772387696	0.4897105597309252	82.60447413596478	near	V3ab
5	6.0	ltm	496	diff_vonmises	0.2933823237959214	16.80956893724684	0.6642627637455999	138.6064403210092	0.6520302946565157	139.5655178682518	0.0582707525360319	-0.2424486024381735	0.3007193549742055	102.51541654020636	near	IPS0
6	7.0	ltm	496	diff_vonmises	0.0641384440539023	3.674862148824553	1.0911326974369933	162.8766350264089	1.0726005306116824	164.6997376968022	-0.0816129055021903	-0.3998847260957738	0.3182718205935835	73.86677191130971	near	LO1
0	1.0	ltm	497	diff_vonmises	0.2498583266570964	14.315827593652694	0.6052282131066409	89.64227941480556	0.5788147032601173	92.89588001645872	-0.4031983984991889	-0.5754857737862569	0.1722873752870679	85.73014759911075	near	V1
