	roi	task	ang_dist_bin	subj	0	vexpl	norm	0_norm	0_adj	1_adj	2_adj	3_adj	4_adj	5_adj	6_adj	7_adj	8_adj	9_adj	10_adj	11_adj	12_adj	13_adj	14_adj
281	6.0	ltm	60.0	131.125	0.173628985509258	0.562267929528119	1.1890668430061389	0.13301659758328968	0.15816562575578025	-0.005801675070402516	0.12436730169885885	0.1797356842069525	0.1391864843217887	0.0012653412806833892	-0.07908586758064913	-0.07858798024179234	-0.12751893893745042	-0.11133554758667487	-0.07327133039418926	-0.1599591811868424	-0.21053753141093787	-0.2519461394368223	-0.1620841719167255
282	6.0	ltm	80.0	131.125	0.13097791057321656	0.5484461403465467	1.1890668430061389	0.10296795751883896	0.12243578417771606	0.005454716496140412	0.07116987713107388	0.09730222596008047	0.09058249842791576	-0.09986652742910063	-0.13740861458668843	-0.13509657127810648	-0.13867183881762865	-0.23639114016305257	-0.19844701729839606	-0.270504058788442	-0.2682490523443444	-0.3584027599602814	-0.18292356336244728
283	6.0	ltm	100.0	131.125	0.15745159343047846	0.5578899631278679	1.1890668430061389	0.14748793070817243	0.17537300814867474	0.046479963133132504	-0.020848400623827902	0.08249560713519685	0.00983302740749465	-0.03965254984594542	-0.14620625806800894	-0.1412183754440771	-0.269016491144426	-0.3273780167049938	-0.32118173890399754	-0.30138420335295085	-0.2634908798667876	-0.32558528322836844	-0.1417684144582557
284	6.0	ltm	120.0	131.125	0.19362900238507658	0.5597650377334717	1.1890668430061389	0.15865974633122232	0.18865704368222133	0.042842167250839655	0.01182712987979813	0.11857323898559588	0.015561351618220243	-0.03129763755393544	-0.12042480124478049	-0.1536618574929945	-0.20925360163505138	-0.2795108868554778	-0.25198175994832506	-0.28387164144386257	-0.25077240583110094	-0.3165377381760789	-0.13456647258455162
285	6.0	ltm	140.0	131.125	0.24245162235106515	0.5595981353273859	1.1890668430061389	0.19140823979138066	0.227597191414099	0.12186010643242723	0.11337983921141483	0.09932972606678764	0.027809207544324945	-0.0293749231807313	-0.1307017950285203	-0.1721122216238342	-0.21845832333874163	-0.2262758261998051	-0.26204865247767184	-0.27304061313081723	-0.22252248122049625	-0.28812779261175553	-0.1598326159116115
286	6.0	ltm	160.0	131.125	0.2588913648523352	0.5616778715844402	1.1890668430061389	0.21717861616788053	0.25823989149518367	0.10749084699346081	0.003478129199759012	0.01951135878397375	0.027791441507852507	-0.02309395166367736	-0.15645902415525947	-0.17831302102483768	-0.2642840309139373	-0.31943341262108116	-0.3384908101630595	-0.36668228437675987	-0.34587579096889315	-0.34279303425258856	-0.20368135052637934
287	6.0	ltm	180.0	131.125	0.23715041934083203	0.5537856259524102	1.1890668430061389	0.1834521141719051	0.21813682624118894	0.10768261462980025	0.040916964436204385	0.045103943508758536	-0.052843350888309305	-0.13750707397114828	-0.23131303629996208	-0.28692545410611503	-0.34004189310988797	-0.34091536188009675	-0.27758258729029467	-0.30347515936284575	-0.2874732546214482	-0.276815290860707	-0.17219966973914033
288	6.0	perception	-160.0	131.125	0.22041360685218037	0.5523253982302381	1.1205503501016851	0.18752769293680968	0.2101342219741034	0.0233915633237327	0.05129661968726633	0.1272742805847161	0.04244283511574279	-0.12001224435146797	-0.22919764494333844	-0.3424204190861237	-0.30479096730961547	-0.3390115845748021	-0.34268516013691336	-0.39237292557511155	-0.3135088682215906	-0.30839781524998205	-0.23964344658406683
289	6.0	perception	-140.0	131.125	0.1833187417873101	0.5568678613283794	1.1205503501016851	0.14682895310386254	0.16452923480559709	-0.028667479958254707	0.03184905110212352	0.13426011311268501	0.07607764832097912	-0.07596780476865325	-0.180417112047359	-0.3134465342968697	-0.34584265401020686	-0.3461541439036715	-0.3265858615509916	-0.4350371075982009	-0.23909724511325098	-0.24398669820630065	-0.17480410719077893
290	6.0	perception	-120.0	131.125	0.19555607931786395	0.5551215395364867	1.1205503501016851	0.14101641792740502	0.15801599647863923	-0.06127149634779123	-0.004438601249485536	0.04766598552822228	-0.02250968721840365	-0.08585019661569034	-0.17458084036934846	-0.2755312766743968	-0.30990252339717117	-0.3890304681070333	-0.36076651816415883	-0.38810469775177014	-0.3067507616881487	-0.30555493034127235	-0.19988025681836258
291	6.0	perception	-100.0	131.125	0.24812559004494514	0.5616346466644486	1.1205503501016851	0.19443533588775302	0.2178745837011604	0.021876166164575602	0.0886970936326908	0.10804900331838929	0.10336854678804411	-0.0429305698986127	-0.10319658151802852	-0.1798335213568621	-0.23194317514397741	-0.31983945131193736	-0.2657144789161976	-0.2985033944369003	-0.24248543767285421	-0.22869923563209052	-0.10269646608206676
292	6.0	perception	-80.0	131.125	0.16156833784994665	0.5513022044199044	1.1205503501016851	0.13289559900257586	0.14891620998930954	0.047275019914196637	0.12167405785669562	0.1556983008825506	0.21510878488098156	0.14850298691778635	0.05045964024771221	-0.04521660108945265	-0.14321166527991006	-0.17118029076680027	-0.16969595809371874	-0.19057861264667633	-0.1635381887004201	-0.12531571301341501	0.017655570303879535
293	6.0	perception	-60.0	131.125	0.07920047636998451	0.5625048132013455	1.1205503501016851	0.07040615920738413	0.07889364634914928	-0.03644666503630942	0.08439837536871724	0.21186791744266334	0.23479524859597417	0.201394440373094	0.12009873109528123	0.01404408544041421	-0.07291052524421678	-0.08241344380095396	-0.11006142763603241	-0.09725072080950806	-0.10310066674309805	-0.11850932323482172	0.06312485018576358
