	roi	task	func	loc	loc_deg	kappa1	scale1	kappa2	scale2	maxr	minr	amp	fwhm	nearest_dist_bin	roi_labels
0	1.0	ltm	diff_vonmises	0.064887827379532	3.7177986506206127	1.2344283702623875	0.7864441458205654	0.0605529075348492	2.987296419672715	-0.2015047729210124	-0.4214258963397476	0.2199211234187351	109.0876725655462	far	V1
1	1.0	perception	diff_vonmises	-0.0586115041311297	-3.3581918176273224	10.011276892096236	0.8947444201276211	0.0269859394680654	3.3780339166651934	0.5621653758511623	-0.5409831019411178	1.10314847779228	42.64160585675182	far	V1
2	1.0	wm	diff_vonmises	0.0606696619531169	3.476115574399027	5.969652989008599	0.3287401241394128	0.0145248391487933	2.898442237859464	-0.1549852616291512	-0.4605345544188761	0.3055492927897248	55.000222624865984	far	V1
3	2.0	ltm	diff_vonmises	0.0671899121560111	3.849698392394183	1.234618762106688	2.192693066534462	0.4260570722168838	3.298736123640107	0.0766928002428642	-0.2733059165443887	0.349998716787253	93.22041338358667	far	V2
4	2.0	perception	diff_vonmises	-0.0375473056520745	-2.151302145951573	9.02269332023664	1.2196669676751568	0.23652678042785	2.5148656684852657	0.9401129088857004	-0.429066392218451	1.369179301104151	43.98238622147284	far	V2
5	2.0	wm	diff_vonmises	-0.0425332758148518	-2.4369771930568658	5.779301156331243	0.5484444248288182	0.1305350536737588	2.2496677324823264	0.1071986430806898	-0.361798105316866	0.4689967483975559	54.05644317810959	far	V2
6	3.0	ltm	diff_vonmises	0.0664052129276286	3.804738438420694	1.0666922958161595	95.30627142603602	1.0454934350020473	95.92656865014972	0.1628500227618232	-0.1954995268124353	0.3583495495742586	84.2120061212124	far	V3
7	3.0	perception	diff_vonmises	0.0136971902461555	0.784791192292469	3.0841887401318147	2.9282465055804665	0.5442128914324731	3.679327617788965	1.009931376184756	-0.4556633173723867	1.465594693557143	69.18776306815786	far	V3
8	3.0	wm	diff_vonmises	-0.0167883617754091	-0.9619022746697008	3.414909607334537	0.6212291166810779	0.1336123163360784	1.7729687099684015	0.116640523064338	-0.2669824198737813	0.3836229429381194	69.42690588260388	far	V3
9	4.0	ltm	diff_vonmises	-0.1934638018620854	-11.08465933525269	1.8567688614373028	0.7005036823433076	1.0071903380648656e-16	2.1608647544387964	0.0015506255756146	-0.3354860582949235	0.3370366838705382	100.39990051298538	far	V4
10	4.0	perception	diff_vonmises	-0.0055010800520349	-0.3151886697452126	1.5073560485539617	5.942234136794818	0.5551823600807235	7.633641668497741	0.6189360365846577	-0.5901763511341652	1.209112387718823	87.71994323377487	far	V4
11	4.0	wm	diff_vonmises	-0.2346895049389329	-13.446718129015547	0.8519714411174618	183.60110445379584	0.8326644827325329	185.67446085851648	0.0340040632637652	-0.4729586075587768	0.5069626708225421	88.03490697987522	far	V4
12	5.0	ltm	diff_vonmises	-0.0252786590710164	-1.448360476519338	1.9392988316752	1.0143479742455286	0.1973943839108776	1.6889982169719482	0.1892812821691268	-0.2134305429739135	0.4027118251430404	89.04690260776971	far	V3ab
13	5.0	perception	diff_vonmises	-0.0058529024382749	-0.335346607614986	1.0409394771636118	64.22944274805695	0.966015728664722	65.13739851636487	0.6055642870009095	-0.4216793951702522	1.0272436821711617	89.67143753172047	far	V3ab
14	5.0	wm	diff_vonmises	0.0250143636122125	1.433217462185397	2.1499189826914784	1.1782971106453166	0.0271539040925702	2.138164596201151	0.2852755160244055	-0.3225057268326579	0.6077812428570635	92.2800255984012	far	V3ab
15	6.0	ltm	diff_vonmises	-0.3006097260013593	-17.223668580461975	0.5280813801204616	133.12357319949018	0.5145334754897055	133.88987881163342	0.1469951902193855	-0.2679249489554021	0.4149201391747876	119.38248431549268	far	IPS0
16	6.0	perception	diff_vonmises	0.1965410581881323	11.260973135215114	0.5724311581918095	4.043943800804207	6.396951906510183e-20	4.836462588549571	0.2830688639817997	-0.4346656511281202	0.7177345151099199	147.7961562768212	far	IPS0
17	6.0	wm	diff_vonmises	-0.2216625116209349	-12.700326392149137	1.99157695271389	0.9835349267023028	2.633458627612369e-13	1.7428024671901674	0.2287089495752012	-0.2679483779767107	0.4966573275519119	97.14658795483804	far	IPS0
18	7.0	ltm	diff_vonmises	0.1829393513920658	10.481652741626094	1.1025827575750344	146.1498416623941	1.086874273858545	147.06898147488056	0.1009432935579184	-0.243475580912623	0.3444188744705414	79.83499112451648	far	LO1
19	7.0	perception	diff_vonmises	-0.0667698503039283	-3.8256306211353897	2.131421839729434	1.665071336717136	5.49044536450637e-17	2.478117634518966	0.4981555201942179	-0.3818352117043868	0.8799907318986047	94.09790796646578	far	LO1
20	7.0	wm	diff_vonmises	0.3546984850332009	20.322726192086613	0.823270361647416	1.2189443631861612	0.0611194249032564	2.409546700119276	-0.0317430574874879	-0.2880443859839947	0.2563013284965067	129.1430384264998	far	LO1
