	roi	task	func	loc	loc_deg	kappa1	scale1	kappa2	scale2	maxr	minr	amp	fwhm	tr	roi_labels
0	6.0	wm	diff_vonmises	-0.2401936150756588	-13.762080409825113	0.8242452987401362	2.600266930765181	0.8241660862137669	1.0009566449298823	0.4930376467036776	0.09482280994155447	0.39821483676212316	135.6840864827735	4	IPS0
0	6.0	wm	diff_vonmises	0.03234445841321483	1.8532009577136175	0.5675354833968703	118.64920389220923	0.5547890497326349	117.96427339753997	0.46108303329332045	-0.10341696629275532	0.5644999995860758	127.33323233193943	5	IPS0
0	6.0	wm	diff_vonmises	0.06799390538509319	3.8957638111776802	0.41624130049384556	98.62004183070361	0.39984517882609977	98.73847950707206	0.2701345284531804	-0.20919120779284128	0.4793257362460217	135.42970475374588	6	IPS0
0	6.0	wm	diff_vonmises	-0.011212630864708997	-0.6424364257859483	0.6263393814311536	115.90743575364925	0.6101772487293868	116.54793055337856	0.18382600290798834	-0.24012801552310314	0.4239540184310915	111.44267416799421	7	IPS0
0	6.0	wm	diff_vonmises	0.009055391892822763	0.5188357372957262	0.5427087974515313	141.45265581044865	0.528110911150484	142.41778954257114	0.14468277272575136	-0.31025698809781055	0.4549397608235619	117.26811683957646	8	IPS0
0	6.0	wm	diff_vonmises	0.03867289774702147	2.2157938224453204	0.5413023076059867	87.78505830774616	0.5194772823013883	88.92699938563707	0.07375472276045159	-0.3115045826894445	0.38525930544989606	115.15874727893502	9	IPS0
0	6.0	wm	diff_vonmises	-0.10542238577137444	-6.040257770899777	0.6057270828211994	131.34672045732867	0.5901580478730314	132.72184420827512	0.024357287115599036	-0.32651971210687236	0.3508769992224714	105.67123464851534	10	IPS0
0	6.0	wm	diff_vonmises	0.0033598816186408958	0.1925070364117069	0.6084372785187334	52.91649215208818	0.572084686503476	54.14909542209993	0.04290248638513461	-0.3044548546815298	0.3473573410666644	107.38017242057128	11	IPS0
0	6.0	wm	diff_vonmises	-0.0780156143909699	-4.469965440722664	1.3233718482659114	0.8999105102687173	6.408991959548853e-19	2.270739550619433	8.293230894040882e-05	-0.3357746767323194	0.33585760904125983	116.2416224420457	12	IPS0
0	6.0	wm	diff_vonmises	-0.0901125645845453	-5.163069631794498	1.5648449277823842	0.8339084591078156	1.9098679712937287e-12	2.223488114486519	0.01672357973212779	-0.3376719592937508	0.3543955390258786	108.45627385564951	13	IPS0
0	6.0	wm	diff_vonmises	0.1796041336021463	10.290558838506755	1.1428184282017853	0.9821750190569715	3.106028460293658e-13	1.4904935332568077	0.12473714779288655	-0.20040399484403576	0.3251411426369223	122.62675618191213	14	IPS0
0	7.0	ltm	diff_vonmises	-0.8675763610838482	-49.70846389542246	0.4645559681083939	2.1990445120703423	0.464543241098204	0.9798124757997847	0.29277809149350703	0.11561833963210583	0.1771597518614012	141.4118835284362	0	LO1
0	7.0	ltm	diff_vonmises	-0.4913870810594561	-28.15440585195971	0.6131527219746009	1.5777998966215525	0.61324072957366	0.6753027525712768	0.24189985392999305	0.07097690351862729	0.17092295041136576	143.0776681519977	1	LO1
0	7.0	ltm	diff_vonmises	-0.45588766895120925	-26.12043936296155	0.3540438560734344	1.7857586907223315	0.3541059730263864	0.634185071579476	0.25313622483273984	0.12469989989486449	0.12843632493787535	156.04360192583616	2	LO1
0	7.0	ltm	diff_vonmises	-0.4534787849975631	-25.98242047908084	0.31590729475653007	3.2533850871530645	0.3159165134293757	1.539101440703957	0.365029568814869	0.1940625159215501	0.17096705289331887	157.9964890964689	3	LO1
0	7.0	ltm	diff_vonmises	-0.2571746566725062	-14.735022425060562	1.2170315526291102	1.0411670446134127	19.910061955462638	0.08653247391723237	0.33151614074608116	0.034898479346884746	0.29661766139919643	137.10383607331786	4	LO1
0	7.0	ltm	diff_vonmises	-0.12386687442982215	-7.097049126305745	1.238227650773689	37.47547792347673	1.2168892482313602	37.2798144293753	0.22188997436618862	-0.03775503828847793	0.25964501265466655	90.08097035343174	5	LO1
