	roi	task	ang_dist_bin	subj	beta	vexpl	norm	beta_norm	beta_adj
140	3.0	perception	120.0	131.125	-0.39072049358518757	0.6493647386919833	2.0465339641329767	-0.18270071129774226	-0.373903210942083
141	3.0	perception	140.0	131.125	-0.39080356298610847	0.6557327653225112	2.0465339641329767	-0.18162447702177242	-0.3717006609429467
142	3.0	perception	160.0	131.125	-0.36078178012772494	0.6496266331668812	2.0465339641329767	-0.164017396014357	-0.3356671716520303
143	3.0	perception	180.0	131.125	-0.3256392734101758	0.6639660529100646	2.0465339641329767	-0.14958160619270489	-0.30612383748293415
144	3.0	wm	-160.0	131.125	-0.2480569416832339	0.6534296614694918	1.1928532821273583	-0.18929664804981722	-0.22580312792193186
145	3.0	wm	-140.0	131.125	-0.2610121994175575	0.6572542787411272	1.1928532821273583	-0.2142883718533736	-0.2556145876870245
146	3.0	wm	-120.0	131.125	-0.2714242616224378	0.6576667080561298	1.1928532821273583	-0.22580467465284848	-0.26935184727935063
147	3.0	wm	-100.0	131.125	-0.2931408458367011	0.6525732367079429	1.1928532821273583	-0.2271081898042709	-0.27090674960602756
148	3.0	wm	-80.0	131.125	-0.2559300684994768	0.6535553628980167	1.1928532821273583	-0.20788489255778053	-0.24797617639224176
149	3.0	wm	-60.0	131.125	-0.2062400527937464	0.6520960866948945	1.1928532821273583	-0.17507610242001562	-0.20884010339378117
150	3.0	wm	-40.0	131.125	-0.07051693857023254	0.6530916013007465	1.1928532821273583	-0.05248827120645279	-0.06261080658180812
151	3.0	wm	-20.0	131.125	0.08835386682262403	0.6488335418331427	1.1928532821273583	0.09434725735967214	0.11254243560119948
152	3.0	wm	0.0	131.125	0.14918585950606678	0.6566126019656106	1.1928532821273583	0.14155816160043294	0.1688581176769914
153	3.0	wm	20.0	131.125	0.020286652692583777	0.6555279267094325	1.1928532821273583	0.03940745656213265	0.04700731390043124
154	3.0	wm	40.0	131.125	-0.0926084382249436	0.6588306541154867	1.1928532821273583	-0.07483966583625658	-0.08927274102609338
